City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Mahebourg,MU,78.8,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
2,Carnarvon,AU,77.0,-24.8667,113.6333,Hospitality Carnarvon
3,Sibiti,CG,70.25,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
6,Cape Town,ZA,66.2,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
7,Busselton,AU,64.0,-33.65,115.3333,Observatory Guest House
9,East London,ZA,71.46,-33.0153,27.9116,Tu Casa
12,San Pedro,PH,81.0,14.35,121.0167,OYO 412 Viewfort Venue
13,Dapaong,TG,77.72,10.8639,0.205,Hotel Caroli
14,Samana,DO,78.8,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
18,Harper,LR,79.29,4.375,-7.7169,Screensaver
22,Bengkulu,ID,75.85,-3.8004,102.2655,Grage Hotel Bengkulu
28,Arraial Do Cabo,BR,75.04,-22.9661,-42.0278,Pousada Porto Praia
32,Cap Malheureux,MU,75.99,-19.9842,57.6142,Pereybere Hotel & Spa
33,Port Alfred,ZA,66.0,-33.5906,26.891,The Halyards Hotel
35,Chuy,UY,65.55,-33.6971,-53.4616,Nuevo Hotel Plaza
39,General Roca,AR,69.8,-39.0333,-67.5833,Hotel El Recreo
42,Mar Del Plata,AR,62.01,-38.0023,-57.5575,Gran Hotel Mar del Plata
44,Georgetown,MY,80.01,5.4112,100.3354,Cititel Penang
45,Oxapampa,PE,62.17,-10.5775,-75.4017,Hotel Heidinger
46,Punta Arenas,CL,69.8,-53.15,-70.9167,Hotel Dreams Del Estrecho
48,Banda Aceh,ID,77.94,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
49,Port Elizabeth,ZA,64.99,-33.918,25.5701,39 On Nile Guest House
51,Saint-Philippe,RE,80.6,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
52,Laguna,US,64.99,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
56,Saint George,US,62.6,37.1041,-113.5841,Best Western Plus Abbey Inn
58,Victoria,HK,66.0,22.2855,114.1577,Mini Hotel Central
60,Jibuti,DJ,77.0,11.5,42.5,Orchid Main Camp Goubet
61,Bindura,ZW,66.0,-17.3019,31.3306,Mayfair Lodges and Restaurant
64,Rocha,UY,62.17,-34.4833,-54.3333,Beleza Pura B&B
67,Namibe,AO,72.32,-15.1961,12.1522,Hotel Chik Chik Namibe
69,Sechura,PE,80.2,-5.5569,-80.8222,Hospedaje Costa Bella
70,Kavaratti,IN,80.82,10.5669,72.642,Hotels in Lakshadweep Islands
72,Villarrica,PY,68.83,-25.75,-56.4333,Mansión Reljuv Tours SA
73,Natal,BR,82.4,-5.795,-35.2094,Villa Park Hotel | Natal
74,Maceio,BR,77.0,-9.6658,-35.7353,Hotel Ponta Verde Maceió
77,Kansanshi,ZM,63.5,-12.0951,26.4273,
80,Lubao,PH,78.8,14.9167,120.55,Hacienda Gracia
81,Luanda,AO,78.8,-8.8368,13.2343,EPIC SANA Luanda
83,Hithadhoo,MV,81.61,-0.6,73.0833,Scoop Guest House
88,Kibre Mengist,ET,60.49,5.8833,38.9833,Selam Ber Hotel (Tsehay Faris)
90,Vilhena,BR,75.2,-12.7406,-60.1458,Hotel Mirage
93,Oistins,BB,78.8,13.0667,-59.5333,Butterfly Beach Hotel
95,Owando,CG,75.16,-0.4819,15.8999,Exaunel Hotel Owando
97,Castro,BR,60.62,-24.7911,-50.0119,CHACARA BAILLY
98,Itaberaba,BR,78.96,-12.5275,-40.3069,Araújo Hotel
100,Bambous Virieux,MU,78.8,-20.3428,57.7575,Casa Tia Villa
101,Comodoro Rivadavia,AR,62.6,-45.8667,-67.5,Austral Hotel
103,Coquimbo,CL,64.4,-29.9533,-71.3436,Hotel San Juan
104,Quelimane,MZ,75.65,-17.8786,36.8883,Hotel Flamingo
105,Dingle,PH,76.89,10.9995,122.6711,SEGAYA PROPERTY
106,Tsabong,BW,74.86,-26.0217,22.401,Springbok Motel
107,Bubaque,GW,78.26,11.2833,-15.8333,"Casa Dora, Bubaque"
108,Saldanha,ZA,62.6,-33.0117,17.9442,Blue Bay Lodge
109,Veraval,IN,68.41,20.9,70.3667,Lords Inn Somnath
110,Taltal,CL,65.25,-25.4,-70.4833,Residencial Karime
111,Soyo,AO,80.26,-6.1349,12.3689,Hotel Mpampa
112,Tessalit,ML,60.75,20.1986,1.0114,
113,Bodrum,TR,60.8,37.0383,27.4292,The Marmara Bodrum
115,Sibolga,ID,76.01,1.7427,98.7792,Hotel Syariah CN Darussalam
116,Morros,BR,70.54,-9.4467,-46.3003,
117,Kruisfontein,ZA,64.99,-34.0033,24.7314,Oyster Bay House Rental
118,Najran,SA,60.8,17.4924,44.1277,محمد هادي ال فطيح
119,Bilma,NE,62.31,18.6853,12.9164,Expeditions Ténére voyages
120,Tefe,BR,80.6,-3.3542,-64.7114,Aracati Hotel
122,Tabuk,PH,73.42,17.4189,121.4443,Golden Berries Hotel and Convention
123,Watsa,CD,62.94,3.0372,29.5355,Hôtel Le Pacifique
125,Los Llanos De Aridane,ES,60.8,28.6585,-17.9182,Valle Aridane
126,Hambantota,LK,76.17,6.1241,81.1185,Bungalow 63
127,Manjakandriana,MG,66.2,-18.9167,47.8,Ampahikely Manjakandriana
130,Dutlwe,BW,64.45,-23.9833,23.9,
131,Trairi,BR,80.08,-3.2778,-39.2689,janelas do mar
132,Daoukro,CI,77.38,7.0591,-3.9631,Komenan brou roseline
135,Salalah,OM,71.6,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
136,Cayenne,GF,80.6,4.9333,-52.3333,Hôtel Le Dronmi
137,Rio Pardo,BR,69.94,-29.9897,-52.3781,Magrelos Mochileiros
138,San Cristobal,VE,84.2,7.7669,-72.225,Pirineos
139,Camacha,PT,60.8,33.0833,-16.3333,Hotel Porto Santo & Spa
144,Abu Dhabi,AE,68.0,24.4667,54.3667,Beach Rotana
145,Road Town,VG,78.8,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
146,Hualmay,PE,72.32,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
147,Itarema,BR,80.55,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
149,Ancud,CL,63.55,-41.8697,-73.8203,Hotel Arena Gruesa
150,Kabare,CD,60.91,-2.4683,28.8242,Hôtel Panorama
152,Cartagena,CO,84.2,10.3997,-75.5144,Costa Del Sol
154,Kasane,BW,67.17,-17.8167,25.15,The Old House
155,La Palma,US,69.01,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
162,Coihaique,CL,77.0,-45.5752,-72.0662,Diego De Almagro Coyhaique
