City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Velventos,GR,40.2517,22.0631,51.8,43,87,2.3
1,Mahebourg,MU,-20.4081,57.7,78.8,83,40,5.75
2,Carnarvon,AU,-24.8667,113.6333,77.0,100,7,8.05
3,Sibiti,CG,-3.6819,13.3499,70.25,100,100,2.98
4,Hermanus,ZA,-34.4187,19.2345,57.99,88,4,1.59
5,Ponta Do Sol,PT,32.6667,-17.1,57.99,75,42,4.0
6,Cape Town,ZA,-33.9258,18.4232,66.2,68,0,14.97
7,Busselton,AU,-33.65,115.3333,64.0,99,81,1.99
8,Vestmanna,FO,62.1564,-7.1664,35.6,60,75,18.41
9,East London,ZA,-33.0153,27.9116,71.46,82,95,9.73
10,Mizdah,LY,31.4451,12.9801,57.92,36,38,15.99
11,Ushuaia,AR,-54.8,-68.3,55.4,71,20,8.05
12,San Pedro,PH,14.35,121.0167,81.0,83,40,13.65
13,Dapaong,TG,10.8639,0.205,77.72,18,18,6.08
14,Samana,DO,19.2056,-69.3369,78.8,83,20,4.61
15,Nanortalik,GL,60.1432,-45.2371,30.6,87,90,16.64
16,Bredasdorp,ZA,-34.5322,20.0403,59.0,77,7,4.61
17,Gat,IL,31.61,34.7642,55.99,84,16,3.06
18,Harper,LR,4.375,-7.7169,79.29,89,78,8.1
19,Paamiut,GL,61.994,-49.6678,26.83,84,61,11.81
20,Wicklow,IE,53.0,-6.4167,35.6,60,75,21.85
21,Berlevag,NO,70.8578,29.0864,24.01,92,100,25.59
22,Bengkulu,ID,-3.8004,102.2655,75.85,79,93,5.5
23,Atasu,KZ,48.6814,71.6433,32.36,98,100,27.85
24,Qaanaaq,GL,77.484,-69.3632,14.83,85,76,6.4
25,Vardo,NO,70.3705,31.1107,19.4,79,90,18.41
26,Luderitz,NA,-26.6481,15.1594,67.17,57,0,28.01
27,Buckingham,GB,51.9997,-0.9878,32.0,79,98,7.0
28,Arraial Do Cabo,BR,-22.9661,-42.0278,75.04,82,100,6.24
29,Maniitsoq,GL,65.4167,-52.9,25.99,79,0,18.19
30,Kumluca,TR,36.3703,30.2869,57.56,76,96,2.8
31,Minsk,BY,53.9,27.5667,-7.01,77,0,4.47
